config	id	target_txt	prediction
min = -15.0 - max = 50.0 - p = 0.8	pert_min_-15.0_max_50.0_p_0.8_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	wir sind der meinung dass der spätere sache den ratslage ich bin der meinung wir würden uns bewusst sein dass es nur ein miteinander gibt und kein gegeneinander die bäuerinnen und konsumenten an die konsumenten
min = -5.0 - max = 15.0 - p = 0.2	pert_min_-5.0_max_15.0_p_0.2_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander die bauernbäuerinnen und konsumenten
min = -50.0 - max = 15.0 - p = 0.5	pert_min_-50.0_max_15.0_p_0.5_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschlag denn ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander bauernbäuerinnen und konsumenten und konsumenten
min = -15.0 - max = 50.0 - p = 0.2	pert_min_-15.0_max_50.0_p_0.2_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sei nicht nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
min = -5.0 - max = 50.0 - p = 0.2	pert_min_-5.0_max_50.0_p_0.2_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und die konsumenten
min = -15.0 - max = 5.0 - p = 0.8	pert_min_-15.0_max_5.0_p_0.8_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauernbäuerinnen und bauern und konsumenten
min = -15.0 - max = 15.0 - p = 0.8	pert_min_-15.0_max_15.0_p_0.8_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein mittel und kein gegeneinander bauernbäuerinnen und konsumenten
min = -5.0 - max = 50.0 - p = 0.5	pert_min_-5.0_max_50.0_p_0.5_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	ich bin noch einmal der meinung dass zum beispiel eigentlich noch einmal bei relativ burgdorf bohren und wir wollen lösung per elektronische personelle und bewilligungseigentümer bernhard perronrolle für die kenntnisnahme
min = -50.0 - max = 5.0 - p = 0.2	pert_min_-50.0_max_5.0_p_0.2_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschlag weil ich der meinung sind wir müssen uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauernbäuerinnen und konsumenten und konsumenten
min = -15.0 - max = 15.0 - p = 0.2	pert_min_-15.0_max_15.0_p_0.2_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander die bauernbäuerinnen und konsumenten und konsumenten
min = -5.0 - max = 50.0 - p = 0.8	pert_min_-5.0_max_50.0_p_0.8_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt ein miteinander und kein gegeneinander die bauernbäuerinnen und konsumenten und die konsumenten
min = -50.0 - max = 50.0 - p = 0.8	pert_min_-50.0_max_50.0_p_0.8_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlecht dieser antrag weil ich der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauern teurer und konsumentinnen und konsumenten
min = -50.0 - max = 5.0 - p = 0.8	pert_min_-50.0_max_5.0_p_0.8_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein missbrauch und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
min = -5.0 - max = 5.0 - p = 0.5	pert_min_-5.0_max_5.0_p_0.5_e1f2c597-43ea-4095...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist ein ganz schlechter ratschlag weil ich der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander die bauern bäuerinnen und konsumenten und konsumenten
min = -5.0 - max = 15.0 - p = 0.8	pert_min_-5.0_max_15.0_p_0.8_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt noch miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
min = -50.0 - max = 15.0 - p = 0.2	pert_min_-50.0_max_15.0_p_0.2_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
min = -15.0 - max = 50.0 - p = 0.5	pert_min_-15.0_max_50.0_p_0.5_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschag denn ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegebeneinander die bauern und die konsumentinnen und konsumenten
min = -5.0 - max = 15.0 - p = 0.5	pert_min_-5.0_max_15.0_p_0.5_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschlag denn ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander bauernbäuerinnen und konsumenten und konsumenten
min = -15.0 - max = 5.0 - p = 0.2	pert_min_-15.0_max_5.0_p_0.2_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
min = -15.0 - max = 5.0 - p = 0.2	pert_min_-15.0_max_5.0_p_0.2_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich eine ganz andere dimension weit und vor allem auch kosten betrifft
min = -15.0 - max = 50.0 - p = 0.8	pert_min_-15.0_max_50.0_p_0.8_35ac16b9-928a-43...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit diesem thema zaunanlage st johannsen auseinandergeschätzt habe tauchte ich welches andere dimensionen ein einzäunung und vor allem auch kosten betrifft
min = -15.0 - max = 5.0 - p = 0.5	pert_min_-15.0_max_5.0_p_0.5_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunung und vor allem auch kosten betrifft
min = -15.0 - max = 5.0 - p = 0.8	pert_min_-15.0_max_5.0_p_0.8_35ac16b9-928a-43c...	als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft	wenn ich mich mit diesem thema zaunanlage st johannsam gesetzt habe war ich in ganz andere dimensionen eingetaucht als umzäunung und vor allem auch kosten betrifft
min = -50.0 - max = 15.0 - p = 0.8	pert_min_-50.0_max_15.0_p_0.8_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung es gebe nur ein miteinander und kein gegeneinander die bauernbäuerinnen und konsumenten und die konsumenten
min = -5.0 - max = 5.0 - p = 0.8	pert_min_-5.0_max_5.0_p_0.8_e1f2c597-43ea-4095...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegenüber bauern bäuerinnen und konsumenten und konsumenten
min = -5.0 - max = 5.0 - p = 0.2	pert_min_-5.0_max_5.0_p_0.2_e1f2c597-43ea-4095...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
min = -50.0 - max = 50.0 - p = 0.2	pert_min_-50.0_max_50.0_p_0.2_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
min = -50.0 - max = 50.0 - p = 0.5	pert_min_-50.0_max_50.0_p_0.5_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist das ganze schlechte ratschlag weil wir uns bewusst sind es gibt nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und die konsumenten
min = -15.0 - max = 5.0 - p = 0.5	pert_min_-15.0_max_5.0_p_0.5_e1f2c597-43ea-409...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein ganz schlechter ratschlag und ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander die bauern bäuerinnen und konsumenten und die konsumenten
min = -15.0 - max = 15.0 - p = 0.5	pert_min_-15.0_max_15.0_p_0.5_e1f2c597-43ea-40...	meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten	meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauernbäuerinnen und konsumenten und konsumenten
