,config,id,target_txt,prediction
115,min = -5.0 - max = 50.0 - p = 0.8,pert_min_-5.0_max_50.0_p_0.8_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt ein miteinander und kein gegeneinander die bauernbäuerinnen und konsumenten und die konsumenten
8,min = -5.0 - max = 50.0 - p = 0.8,pert_min_-5.0_max_50.0_p_0.8_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort werden sie wie sehr wichtig eingelegt
9,min = -50.0 - max = 15.0 - p = 0.2,pert_min_-50.0_max_15.0_p_0.2_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,es gibt einen sehr vielen jugendlichen
120,min = -50.0 - max = 15.0 - p = 0.2,pert_min_-50.0_max_15.0_p_0.2_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
74,min = -50.0 - max = 15.0 - p = 0.2,pert_min_-50.0_max_15.0_p_0.2_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,und ich möchte mit diesem thema zaunanlage somit johanns auseinandergesetzt eine einwohnt sonderne dimensionen einzubeziehen und das reinige und vorhandene dimensionen betrifft
45,min = -50.0 - max = 15.0 - p = 0.2,pert_min_-50.0_max_15.0_p_0.2_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
88,min = -50.0 - max = 15.0 - p = 0.2,pert_min_-50.0_max_15.0_p_0.2_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittel anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
107,min = -50.0 - max = 15.0 - p = 0.5,pert_min_-50.0_max_15.0_p_0.5_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschlag denn ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander bauernbäuerinnen und konsumenten und konsumenten
90,min = -50.0 - max = 15.0 - p = 0.5,pert_min_-50.0_max_15.0_p_0.5_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner monat anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
48,min = -50.0 - max = 15.0 - p = 0.5,pert_min_-50.0_max_15.0_p_0.5_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
10,min = -50.0 - max = 15.0 - p = 0.5,pert_min_-50.0_max_15.0_p_0.5_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort erhöht sich sehr viele jugendliche
65,min = -50.0 - max = 15.0 - p = 0.5,pert_min_-50.0_max_15.0_p_0.5_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,wenn ich mich mit dem thema zaunanlage st johannsen auseinandergesetzt habe bin ich in ganz andere dimensionen eingetaucht was umzäunung und vor allem auch kosten betrifft
52,min = -50.0 - max = 15.0 - p = 0.8,pert_min_-50.0_max_15.0_p_0.8_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
6,min = -50.0 - max = 15.0 - p = 0.8,pert_min_-50.0_max_15.0_p_0.8_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,das ist eine freie jugendliche
75,min = -50.0 - max = 15.0 - p = 0.8,pert_min_-50.0_max_15.0_p_0.8_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte war ich in ganz andere dimensionen eingetaucht was umzäunung und vor allem auch kosten betrifft
128,min = -50.0 - max = 15.0 - p = 0.8,pert_min_-50.0_max_15.0_p_0.8_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung es gebe nur ein miteinander und kein gegeneinander die bauernbäuerinnen und konsumenten und die konsumenten
84,min = -50.0 - max = 15.0 - p = 0.8,pert_min_-50.0_max_15.0_p_0.8_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
17,min = -50.0 - max = 5.0 - p = 0.2,pert_min_-50.0_max_5.0_p_0.2_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
113,min = -50.0 - max = 5.0 - p = 0.2,pert_min_-50.0_max_5.0_p_0.2_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschlag weil ich der meinung sind wir müssen uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauernbäuerinnen und konsumenten und konsumenten
67,min = -50.0 - max = 5.0 - p = 0.2,pert_min_-50.0_max_5.0_p_0.2_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe war ich in ganz andere dimensionen eingetaucht als umzäunung der kosten betrifft
92,min = -50.0 - max = 5.0 - p = 0.2,pert_min_-50.0_max_5.0_p_0.2_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln die landschaft stehen
36,min = -50.0 - max = 5.0 - p = 0.2,pert_min_-50.0_max_5.0_p_0.2_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
104,min = -50.0 - max = 5.0 - p = 0.5,pert_min_-50.0_max_5.0_p_0.5_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,wir sind der meinung dass es so schlechte herr randschau ist und auch jene der mechanismus und wir müssen ein emossiertes thema haben und jetzt ein gegenkommen korrekturinnen und konsumenten erhalten
35,min = -50.0 - max = 5.0 - p = 0.5,pert_min_-50.0_max_5.0_p_0.5_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
15,min = -50.0 - max = 5.0 - p = 0.5,pert_min_-50.0_max_5.0_p_0.5_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
69,min = -50.0 - max = 5.0 - p = 0.5,pert_min_-50.0_max_5.0_p_0.5_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,wenn ich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe bin ich eine ganz andere dimension eingetaucht was umzäuge und vor allem auch kosten betrifft
81,min = -50.0 - max = 5.0 - p = 0.5,pert_min_-50.0_max_5.0_p_0.5_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen
13,min = -50.0 - max = 5.0 - p = 0.8,pert_min_-50.0_max_5.0_p_0.8_2cd735e7-9390-415...,dort bewegen sich sehr viele jugendliche,topper werden in die session seinen jugendlichen
103,min = -50.0 - max = 5.0 - p = 0.8,pert_min_-50.0_max_5.0_p_0.8_c2917c1b-e4a8-495...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
33,min = -50.0 - max = 5.0 - p = 0.8,pert_min_-50.0_max_5.0_p_0.8_b842e6ab-90eb-411...,wir kommen zur abstimmung,wir kommen zur abstimmung
117,min = -50.0 - max = 5.0 - p = 0.8,pert_min_-50.0_max_5.0_p_0.8_e1f2c597-43ea-409...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein sehr schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gebe nur ein missbrauch und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
71,min = -50.0 - max = 5.0 - p = 0.8,pert_min_-50.0_max_5.0_p_0.8_35ac16b9-928a-43c...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe war ich in ganz andere informationen eingetaucht was umzäunung und vor allem auch kosten betrifft
131,min = -50.0 - max = 50.0 - p = 0.2,pert_min_-50.0_max_50.0_p_0.2_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist dies ein ganz schlechter ratschlag weil ich bin der meinung man müsse uns bewusst sein es gibt nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und konsumenten
76,min = -50.0 - max = 50.0 - p = 0.2,pert_min_-50.0_max_50.0_p_0.2_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich zum thema zaunanlage st johannsen auseinandersetzte war ich in ganz andere dimensionen eingetaucht als umzäunung und vor allem auch kosten betrifft
30,min = -50.0 - max = 50.0 - p = 0.2,pert_min_-50.0_max_50.0_p_0.2_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
83,min = -50.0 - max = 50.0 - p = 0.2,pert_min_-50.0_max_50.0_p_0.2_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittel anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
19,min = -50.0 - max = 50.0 - p = 0.2,pert_min_-50.0_max_50.0_p_0.2_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
54,min = -50.0 - max = 50.0 - p = 0.5,pert_min_-50.0_max_50.0_p_0.5_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abstimmung
89,min = -50.0 - max = 50.0 - p = 0.5,pert_min_-50.0_max_50.0_p_0.5_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegeln in der landschaft stehen
61,min = -50.0 - max = 50.0 - p = 0.5,pert_min_-50.0_max_50.0_p_0.5_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit diesem thema zaunanlage st johannsen auseinandergesetzt habe tauchte ich in ganz anderen dimensionen ein wo es umzäunungen auf die strassen betrifft
132,min = -50.0 - max = 50.0 - p = 0.5,pert_min_-50.0_max_50.0_p_0.5_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlechte ratschlag weil wir uns bewusst sind es gibt nur ein miteinander und kein gegeneinander bauern bäuerinnen und konsumenten und die konsumenten
23,min = -50.0 - max = 50.0 - p = 0.5,pert_min_-50.0_max_50.0_p_0.5_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort bewegen sich sehr viele jugendliche
79,min = -50.0 - max = 50.0 - p = 0.8,pert_min_-50.0_max_50.0_p_0.8_c2917c1b-e4a8-49...,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume wie riegel in der landschaft stehen,wenn wir das berner mittelland anschauen stellen wir fest dass die urbanen räume in der landschaft stehen
51,min = -50.0 - max = 50.0 - p = 0.8,pert_min_-50.0_max_50.0_p_0.8_b842e6ab-90eb-41...,wir kommen zur abstimmung,wir kommen zur abschreibung
3,min = -50.0 - max = 50.0 - p = 0.8,pert_min_-50.0_max_50.0_p_0.8_2cd735e7-9390-41...,dort bewegen sich sehr viele jugendliche,dort berechnet sich für die jugendliche
116,min = -50.0 - max = 50.0 - p = 0.8,pert_min_-50.0_max_50.0_p_0.8_e1f2c597-43ea-40...,meiner meinung nach ist das ganz ein schlechter ratschlag denn ich bin der meinung wir müssen uns bewusst sein es gibt nur ein miteinander und nicht ein gegeneinander bauern bäuerinnen und die konsumentinnen und konsumenten,meiner meinung nach ist das ganze schlecht dieser antrag weil ich der meinung man müsse uns bewusst sein es gebe nur ein miteinander und kein gegeneinander bauern teurer und konsumentinnen und konsumenten
57,min = -50.0 - max = 50.0 - p = 0.8,pert_min_-50.0_max_50.0_p_0.8_35ac16b9-928a-43...,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunungen und vor allem auch kosten betrifft,als ich mich mit dem thema zaunanlage st johannsen auseinandersetzte tauchte ich in ganz andere dimensionen ein was umzäunung und vor allem auch kosten betrifft
