id	target_txt	checkpoint	prediction
1045  common_voice_sv-SE_18858726	You have a point.	50	I I an’the tous the the the the the the the athe the the.
1045  common_voice_sv-SE_18858726	You have a point.	1250	You can decide what you want a bout.
1045  common_voice_sv-SE_18858726	You have a point.	750	Do you remember the ending of my life?
1045  common_voice_sv-SE_18858726	You have a point.	1000	We need to get a hold of a lot of mone!
1045  common_voice_sv-SE_18858726	You have a point.	500	We need to know what everything.
1280  common_voice_sv-SE_18775012	I’ll knock you out.	-	-
1280  common_voice_sv-SE_18775012	I’ll knock you out.	250	What are you going?
1280  common_voice_sv-SE_18775012	I’ll knock you out.	50	I I atous tous thathe the the athe the the athe the.
1280  common_voice_sv-SE_18775012	I’ll knock you out.	1250	Do not leave us in the day.
1280  common_voice_sv-SE_18775012	I’ll knock you out.	750	I recognize him.
1280  common_voice_sv-SE_18775012	I’ll knock you out.	1000	Do you have a solid line?
1280  common_voice_sv-SE_18775012	I’ll knock you out.	500	What are you doing here?
1192  common_voice_sv-SE_18780676	Ask me where I am going!	-	-
1192  common_voice_sv-SE_18780676	Ask me where I am going!	250	What are you going to that?
1192  common_voice_sv-SE_18780676	Ask me where I am going!	50	I I an’the tous the the the athe the the the athe the the.
1192  common_voice_sv-SE_18780676	Ask me where I am going!	1250	Do you have a solid line?
1192  common_voice_sv-SE_18780676	Ask me where I am going!	750	Do you mean life after death?
1192  common_voice_sv-SE_18780676	Ask me where I am going!	1000	Do you have a solid line?
1192  common_voice_sv-SE_18780676	Ask me where I am going!	500	What are you doing here?
418  common_voice_sv-SE_18762821	I will be funnier.	-	-
418  common_voice_sv-SE_18762821	I will be funnier.	250	What are you going?
418  common_voice_sv-SE_18762821	I will be funnier.	50	I I tous the toure the the the the the the.
418  common_voice_sv-SE_18762821	I will be funnier.	1250	What are you doing here?
418  common_voice_sv-SE_18762821	I will be funnier.	750	It will last for you.
418  common_voice_sv-SE_18762821	I will be funnier.	1000	What is this madness?
418  common_voice_sv-SE_18762821	I will be funnier.	500	What are you doing here?
902  common_voice_sv-SE_19589179	And he pissed on it.	-	-
902  common_voice_sv-SE_19589179	And he pissed on it.	250	What do you have to do?
902  common_voice_sv-SE_19589179	And he pissed on it.	50	I I tous the the the the.
902  common_voice_sv-SE_19589179	And he pissed on it.	1250	Should I steer it?
902  common_voice_sv-SE_19589179	And he pissed on it.	750	I have sated I can’t help you.
902  common_voice_sv-SE_19589179	And he pissed on it.	1000	Should I steer it?
902  common_voice_sv-SE_19589179	And he pissed on it.	500	I will be back in a minute.
1279  common_voice_sv-SE_18775011	He is an old friend	-	-
1279  common_voice_sv-SE_18775011	He is an old friend	250	What do you know that?
1279  common_voice_sv-SE_18775011	He is an old friend	50	You an’the the the the the the athe the the athe the be atherere be be bousthe cathe the athe the be cathe bere athe be be be bere be berererere bererere bererere berere s s.
1279  common_voice_sv-SE_18775011	He is an old friend	1250	Come on, let’s leave.
1279  common_voice_sv-SE_18775011	He is an old friend	750	Do you mean life after death?
1279  common_voice_sv-SE_18775011	He is an old friend	1000	Do not leave us in the dark.
1279  common_voice_sv-SE_18775011	He is an old friend	500	What are you going to do now?
1129  common_voice_sv-SE_18746512	It’s the best way.	-	-
1129  common_voice_sv-SE_18746512	It’s the best way.	250	What are you going?
1129  common_voice_sv-SE_18746512	It’s the best way.	50	I I atous the the athe the the athe the the athe the the.
1129  common_voice_sv-SE_18746512	It’s the best way.	1250	Come on, let’s leave.
1129  common_voice_sv-SE_18746512	It’s the best way.	750	It could have been killed.
1129  common_voice_sv-SE_18746512	It’s the best way.	1000	You know, they have names.
1129  common_voice_sv-SE_18746512	It’s the best way.	500	What are you doing here?
49  common_voice_sv-SE_18748643	But that is good.	-	-
49  common_voice_sv-SE_18748643	But that is good.	250	What are you going?
49  common_voice_sv-SE_18748643	But that is good.	50	I I tous the toure the the the the the.
49  common_voice_sv-SE_18748643	But that is good.	1250	I will be done the test.
49  common_voice_sv-SE_18748643	But that is good.	750	I’m your father.
49  common_voice_sv-SE_18748643	But that is good.	1000	How did you feel today?
49  common_voice_sv-SE_18748643	But that is good.	500	What are you doing here?
1425  common_voice_sv-SE_20021617	Are you ready?	-	-
1425  common_voice_sv-SE_20021617	Are you ready?	250	What are you going?
1425  common_voice_sv-SE_20021617	Are you ready?	50	I I anout t toure the the.
1425  common_voice_sv-SE_20021617	Are you ready?	1250	I will cook for you.
1425  common_voice_sv-SE_20021617	Are you ready?	750	Are you lying to me?
1425  common_voice_sv-SE_20021617	Are you ready?	1000	Go to hell.
1425  common_voice_sv-SE_20021617	Are you ready?	500	What are you doing here?
1083  common_voice_sv-SE_18858801	So he couldn’t make it.	-	-
1083  common_voice_sv-SE_18858801	So he couldn’t make it.	250	You don’t know.
1083  common_voice_sv-SE_18858801	So he couldn’t make it.	50	You an the the the the the the the the the athe.
1083  common_voice_sv-SE_18858801	So he couldn’t make it.	1250	Lets start our own, together.
1083  common_voice_sv-SE_18858801	So he couldn’t make it.	750	Yes, because we are starting our company.
1083  common_voice_sv-SE_18858801	So he couldn’t make it.	1000	Can I get weapons?
1083  common_voice_sv-SE_18858801	So he couldn’t make it.	500	I do not need that it is for everyone.
1327  common_voice_sv-SE_18775060	And send it.	-	-
1327  common_voice_sv-SE_18775060	And send it.	250	What are you going?
1327  common_voice_sv-SE_18775060	And send it.	50	I I tous the the athe the the athe the the athe the the.
1327  common_voice_sv-SE_18775060	And send it.	1250	What do I know about that?
1327  common_voice_sv-SE_18775060	And send it.	750	What does it matter?
1327  common_voice_sv-SE_18775060	And send it.	1000	Have you lost your mind?
1327  common_voice_sv-SE_18775060	And send it.	500	How are you feeling?
1080  common_voice_sv-SE_18858797	Don’t let him win.	-	-
1080  common_voice_sv-SE_18858797	Don’t let him win.	250	You don’t know that.
1080  common_voice_sv-SE_18858797	Don’t let him win.	50	You an’t the the the the the the the the the the the the.
1080  common_voice_sv-SE_18858797	Don’t let him win.	1250	Lets start our own, together.
1080  common_voice_sv-SE_18858797	Don’t let him win.	750	I do not know why I am thinking about other people.
1080  common_voice_sv-SE_18858797	Don’t let him win.	1000	It is strange, because in the end.
1080  common_voice_sv-SE_18858797	Don’t let him win.	500	I don’t want to start your brother.
569  common_voice_sv-SE_19307834	Where are we going?	-	-
569  common_voice_sv-SE_19307834	Where are we going?	250	What do you know.
569  common_voice_sv-SE_19307834	Where are we going?	50	I I anout tou the the the toure the the.
569  common_voice_sv-SE_19307834	Where are we going?	1250	What do I think you?
569  common_voice_sv-SE_19307834	Where are we going?	750	I like it.
569  common_voice_sv-SE_19307834	Where are we going?	1000	Look at the seams.
569  common_voice_sv-SE_19307834	Where are we going?	500	You are not a changed.
691  common_voice_sv-SE_19758154	Nothing wrong with trying.	-	-
691  common_voice_sv-SE_19758154	Nothing wrong with trying.	250	What are you going?
691  common_voice_sv-SE_19758154	Nothing wrong with trying.	50	I I an’the the the the the the athe the the.
691  common_voice_sv-SE_19758154	Nothing wrong with trying.	1250	I know as much as you.
691  common_voice_sv-SE_19758154	Nothing wrong with trying.	750	I will let you know.
691  common_voice_sv-SE_19758154	Nothing wrong with trying.	1000	I know as much as you.
691  common_voice_sv-SE_19758154	Nothing wrong with trying.	500	What are you going to do now?
1262  common_voice_sv-SE_18774994	Yes they are.	-	-
1262  common_voice_sv-SE_18774994	Yes they are.	250	What are you going?
1262  common_voice_sv-SE_18774994	Yes they are.	50	I I an’the tous the the the athe the the the.
1262  common_voice_sv-SE_18774994	Yes they are.	1250	You know, they have names.
1262  common_voice_sv-SE_18774994	Yes they are.	750	It is actually quite elegant.
1262  common_voice_sv-SE_18774994	Yes they are.	1000	Yes, I think it loosened.
1262  common_voice_sv-SE_18774994	Yes they are.	500	What are you going to do now?
798  common_voice_sv-SE_19624029	Of course.	-	-
798  common_voice_sv-SE_19624029	Of course.	250	What do you want?
798  common_voice_sv-SE_19624029	Of course.	50	I I atous t the the the the the.
798  common_voice_sv-SE_19624029	Of course.	1250	I’ll try something.
798  common_voice_sv-SE_19624029	Of course.	750	I’ll try something.
798  common_voice_sv-SE_19624029	Of course.	1000	Stop talking about.
798  common_voice_sv-SE_19624029	Of course.	500	What are you doing here?
1013  common_voice_sv-SE_18854186	A pleasure meeting you.	-	-
1013  common_voice_sv-SE_18854186	A pleasure meeting you.	250	You don’t know.
1013  common_voice_sv-SE_18854186	A pleasure meeting you.	50	I I an’the the the the the the the the the athe.
1013  common_voice_sv-SE_18854186	A pleasure meeting you.	1250	You don’t need to insist.
1013  common_voice_sv-SE_18854186	A pleasure meeting you.	750	I will do my best to find it.
1013  common_voice_sv-SE_18854186	A pleasure meeting you.	1000	You can die for it.
1013  common_voice_sv-SE_18854186	A pleasure meeting you.	500	What are you going to do?
899  common_voice_sv-SE_19589176	Do you have any vodka?	-	-
899  common_voice_sv-SE_19589176	Do you have any vodka?	250	What do you know.
899  common_voice_sv-SE_19589176	Do you have any vodka?	50	I I tous the the the the.
899  common_voice_sv-SE_19589176	Do you have any vodka?	1250	You should be a dector.
899  common_voice_sv-SE_19589176	Do you have any vodka?	750	I’ll take care of it.
899  common_voice_sv-SE_19589176	Do you have any vodka?	1000	It’s not a problem.
899  common_voice_sv-SE_19589176	Do you have any vodka?	500	I will be back in a fun.
208  common_voice_sv-SE_18711924	Do not touch me.	-	-
208  common_voice_sv-SE_18711924	Do not touch me.	250	You don’t know.
208  common_voice_sv-SE_18711924	Do not touch me.	50	I I an’the the the the toure athe the the.
208  common_voice_sv-SE_18711924	Do not touch me.	1250	It is kind of.
208  common_voice_sv-SE_18711924	Do not touch me.	750	I don’t want to fucking.
208  common_voice_sv-SE_18711924	Do not touch me.	1000	Go to hell.
208  common_voice_sv-SE_18711924	Do not touch me.	500	What are you doing here?
48  common_voice_sv-SE_18748642	It is mean.	-	-
48  common_voice_sv-SE_18748642	It is mean.	250	You don’t know that will that the come there there.
48  common_voice_sv-SE_18748642	It is mean.	50	The the the s the the the the the the the the the the the the are be be there s cathe the the the be there be the thererere bere the therererere bererererererererererere s s care s be the the there t
48  common_voice_sv-SE_18748642	It is mean.	1250	She got me a temp as paper salesman.
48  common_voice_sv-SE_18748642	It is mean.	750	I do not really have an opinion on the subject.
48  common_voice_sv-SE_18748642	It is mean.	1000	She got me a temp as paper salesman.
48  common_voice_sv-SE_18748642	It is mean.	500	I do not even know where it is life.
592  common_voice_sv-SE_19354324	She and I will go to eat.	-	-
592  common_voice_sv-SE_19354324	She and I will go to eat.	250	Why do you know that?
592  common_voice_sv-SE_19354324	She and I will go to eat.	50	You an’the the the the the the the the the the the the the the the.
592  common_voice_sv-SE_19354324	She and I will go to eat.	1250	We’re going to get them.
592  common_voice_sv-SE_19354324	She and I will go to eat.	750	I don’t care anywhere.
592  common_voice_sv-SE_19354324	She and I will go to eat.	1000	We can’t risk here.
592  common_voice_sv-SE_19354324	She and I will go to eat.	500	I don’t want to start your family.
1371  common_voice_sv-SE_20021335	Good to see you.	-	-
1371  common_voice_sv-SE_20021335	Good to see you.	250	What are you going?
1371  common_voice_sv-SE_20021335	Good to see you.	50	I I an’t the toure the the the athe the.
1371  common_voice_sv-SE_20021335	Good to see you.	1250	I like it.
1371  common_voice_sv-SE_20021335	Good to see you.	750	I’m not moping.
1371  common_voice_sv-SE_20021335	Good to see you.	1000	It’s not what you think.
1371  common_voice_sv-SE_20021335	Good to see you.	500	What are you doing here?
176  common_voice_sv-SE_18748655	He says something.	-	-
176  common_voice_sv-SE_18748655	He says something.	250	What are you going?
176  common_voice_sv-SE_18748655	He says something.	50	I I tous the the the the.
176  common_voice_sv-SE_18748655	He says something.	1250	I like it.
176  common_voice_sv-SE_18748655	He says something.	750	Do you want to see?
176  common_voice_sv-SE_18748655	He says something.	1000	Let’s get started.
176  common_voice_sv-SE_18748655	He says something.	500	What are you going?
756  common_voice_sv-SE_19476012	I mean your mother, ma'am.	-	-
756  common_voice_sv-SE_19476012	I mean your mother, ma'am.	250	What are you going?
756  common_voice_sv-SE_19476012	I mean your mother, ma'am.	50	I I atous tou the the the the athe the the.
756  common_voice_sv-SE_19476012	I mean your mother, ma'am.	1250	I wanted to burn you both.
756  common_voice_sv-SE_19476012	I mean your mother, ma'am.	750	I have a feeling.
756  common_voice_sv-SE_19476012	I mean your mother, ma'am.	1000	Have you lost your mind?
756  common_voice_sv-SE_19476012	I mean your mother, ma'am.	500	What are you going to do now?
1288  common_voice_sv-SE_18775020	It’s his blood.	-	-
1288  common_voice_sv-SE_18775020	It’s his blood.	250	What are you going?
1288  common_voice_sv-SE_18775020	It’s his blood.	50	I I an’the tous the the the the athe the the athe athe the.
1288  common_voice_sv-SE_18775020	It’s his blood.	1250	Come on, let’s leave.
1288  common_voice_sv-SE_18775020	It’s his blood.	750	Do you want to buy jeans?
1288  common_voice_sv-SE_18775020	It’s his blood.	1000	Can you move the bag?
1288  common_voice_sv-SE_18775020	It’s his blood.	500	What are you doing here?
1249  common_voice_sv-SE_18770488	On one condition.	-	-
1249  common_voice_sv-SE_18770488	On one condition.	250	What are you going?
1249  common_voice_sv-SE_18770488	On one condition.	50	I I an’the tous the the the the the the the athe the the.
1249  common_voice_sv-SE_18770488	On one condition.	1250	Because I insulted your father.
1249  common_voice_sv-SE_18770488	On one condition.	750	Yes, I have it.
1249  common_voice_sv-SE_18770488	On one condition.	1000	Because I insulted your friend?
1249  common_voice_sv-SE_18770488	On one condition.	500	What are you going to do now?
1298  common_voice_sv-SE_18775030	We won’t talk about that.	-	-
1298  common_voice_sv-SE_18775030	We won’t talk about that.	250	You can’t have to the comention.
1298  common_voice_sv-SE_18775030	We won’t talk about that.	50	You an’the the the the the the athe the the atoure the there be be be be boure che the cathe the the cathe bere athe bere be berere bererererere bererere be bere berere be s.
1298  common_voice_sv-SE_18775030	We won’t talk about that.	1250	Maybe we should redeem it.
1298  common_voice_sv-SE_18775030	We won’t talk about that.	750	No, I just walked in here.
1298  common_voice_sv-SE_18775030	We won’t talk about that.	1000	Maybe we should redeem it.
1298  common_voice_sv-SE_18775030	We won’t talk about that.	500	What are you going to do now, mom?
1242  common_voice_sv-SE_18770475	It doesn’t look good.	-	-
1242  common_voice_sv-SE_18770475	It doesn’t look good.	250	What are you going to that?
1242  common_voice_sv-SE_18770475	It doesn’t look good.	50	I I an’the the the the the the athe the the athe the the.
1242  common_voice_sv-SE_18770475	It doesn’t look good.	1250	Come on, let’s leave.
1242  common_voice_sv-SE_18770475	It doesn’t look good.	750	I wanted to burn you both.
1242  common_voice_sv-SE_18770475	It doesn’t look good.	1000	He was not necessary any longer.
1242  common_voice_sv-SE_18770475	It doesn’t look good.	500	What are you going to do now?
873  common_voice_sv-SE_19795637	You have the responsibility.	-	-
873  common_voice_sv-SE_19795637	You have the responsibility.	250	What are you going?
873  common_voice_sv-SE_19795637	You have the responsibility.	50	I I tous the the the the the athe the the the.
873  common_voice_sv-SE_19795637	You have the responsibility.	1250	What do you want to do that?
873  common_voice_sv-SE_19795637	You have the responsibility.	750	Do you really want to know?
873  common_voice_sv-SE_19795637	You have the responsibility.	1000	Let’s take a look.
873  common_voice_sv-SE_19795637	You have the responsibility.	500	What are you going to do now?
823  common_voice_sv-SE_19575639	I want to speak to Thomas.	-	-
823  common_voice_sv-SE_19575639	I want to speak to Thomas.	250	What are you going?
823  common_voice_sv-SE_19575639	I want to speak to Thomas.	50	I I tous tous the the the the athe the the the.
823  common_voice_sv-SE_19575639	I want to speak to Thomas.	1250	What do you want to do?
823  common_voice_sv-SE_19575639	I want to speak to Thomas.	750	I don’t know what he’s doing.
823  common_voice_sv-SE_19575639	I want to speak to Thomas.	1000	Don’t even think of show?
823  common_voice_sv-SE_19575639	I want to speak to Thomas.	500	What are you going to do work?
452  common_voice_sv-SE_18855082	We have said so.	-	-
452  common_voice_sv-SE_18855082	We have said so.	250	What are you going?
452  common_voice_sv-SE_18855082	We have said so.	50	I I an’the the the the the the athe the the.
452  common_voice_sv-SE_18855082	We have said so.	1250	You know, they have names.
452  common_voice_sv-SE_18855082	We have said so.	750	You know the president.
452  common_voice_sv-SE_18855082	We have said so.	1000	You know, they have names.
452  common_voice_sv-SE_18855082	We have said so.	500	What are you going to do?
678  common_voice_sv-SE_19758102	Yes, fuck!	-	-
678  common_voice_sv-SE_19758102	Yes, fuck!	250	What are you going?
678  common_voice_sv-SE_19758102	Yes, fuck!	50	I I an’the the the the the.
678  common_voice_sv-SE_19758102	Yes, fuck!	1250	No, we are working.
678  common_voice_sv-SE_19758102	Yes, fuck!	750	No, I’m just happy.
678  common_voice_sv-SE_19758102	Yes, fuck!	1000	No, I want to go.
678  common_voice_sv-SE_19758102	Yes, fuck!	500	What are you going to do?
1132  common_voice_sv-SE_18746531	You promise?	-	-
1132  common_voice_sv-SE_18746531	You promise?	250	What are you going?
1132  common_voice_sv-SE_18746531	You promise?	50	I I atous tous the the the the the the the atous.
1132  common_voice_sv-SE_18746531	You promise?	1250	Come on, let’s leave.
1132  common_voice_sv-SE_18746531	You promise?	750	What do you mean?
1132  common_voice_sv-SE_18746531	You promise?	1000	He doesn’t know.
1132  common_voice_sv-SE_18746531	You promise?	500	What are you doing here?
865  common_voice_sv-SE_19795629	We have to do it.	-	-
865  common_voice_sv-SE_19795629	We have to do it.	250	What are you going?
865  common_voice_sv-SE_19795629	We have to do it.	50	I I tous the thathe the the the the the the.
865  common_voice_sv-SE_19795629	We have to do it.	1250	That is my office.
865  common_voice_sv-SE_19795629	We have to do it.	750	Do you want to buy jeans?
865  common_voice_sv-SE_19795629	We have to do it.	1000	Do you even think so?
865  common_voice_sv-SE_19795629	We have to do it.	500	What are you going to do work?
743  common_voice_sv-SE_19475997	I can be disgusting.	-	-
743  common_voice_sv-SE_19475997	I can be disgusting.	250	What do you know that?
743  common_voice_sv-SE_19475997	I can be disgusting.	50	I I tous the the the the the athe the the the.
743  common_voice_sv-SE_19475997	I can be disgusting.	1250	I wanted to be a fucking gull.
743  common_voice_sv-SE_19475997	I can be disgusting.	750	I don’t know what he’s doing.
743  common_voice_sv-SE_19475997	I can be disgusting.	1000	Have you lost your mind?
743  common_voice_sv-SE_19475997	I can be disgusting.	500	I will be back in a minute.
1168  common_voice_sv-SE_18780635	Return to London?	-	-
1168  common_voice_sv-SE_18780635	Return to London?	250	What do you know that?
1168  common_voice_sv-SE_18780635	Return to London?	50	I I an’the tous the the the athe the the athe.
1168  common_voice_sv-SE_18780635	Return to London?	1250	You can die for it.
1168  common_voice_sv-SE_18780635	Return to London?	750	I have not been seeking attention.
1168  common_voice_sv-SE_18780635	Return to London?	1000	You can die for it.
1168  common_voice_sv-SE_18780635	Return to London?	500	What are you going to do now?
498  common_voice_sv-SE_18716990	I can not take it anymore.	-	-
498  common_voice_sv-SE_18716990	I can not take it anymore.	250	You don’t know.
498  common_voice_sv-SE_18716990	I can not take it anymore.	50	I I tous the the the the the the the the the.
498  common_voice_sv-SE_18716990	I can not take it anymore.	1250	Why don’t you se top?
498  common_voice_sv-SE_18716990	I can not take it anymore.	750	Do you really want to know?
498  common_voice_sv-SE_18716990	I can not take it anymore.	1000	Why do you think it’s burning?
498  common_voice_sv-SE_18716990	I can not take it anymore.	500	What are you going to do now?
2  common_voice_sv-SE_20160056	Can you babysit?	-	-
2  common_voice_sv-SE_20160056	Can you babysit?	250	What are you going?
2  common_voice_sv-SE_20160056	Can you babysit?	50	I I an’the the the the the the athe the the.
2  common_voice_sv-SE_20160056	Can you babysit?	1250	Maybe for ever.
2  common_voice_sv-SE_20160056	Can you babysit?	750	It’s our one year anniversary.
2  common_voice_sv-SE_20160056	Can you babysit?	1000	Do you have a solid line?
2  common_voice_sv-SE_20160056	Can you babysit?	500	What are you going to do now?
510  common_voice_sv-SE_18717014	I’ll pass.	-	-
510  common_voice_sv-SE_18717014	I’ll pass.	250	What are you going?
510  common_voice_sv-SE_18717014	I’ll pass.	50	I I anout tous the the the.
510  common_voice_sv-SE_18717014	I’ll pass.	1250	Can I do now?
510  common_voice_sv-SE_18717014	I’ll pass.	750	It will soon be over.
510  common_voice_sv-SE_18717014	I’ll pass.	1000	What do you mean by?
510  common_voice_sv-SE_18717014	I’ll pass.	500	Do you want to see?
1584  common_voice_sv-SE_18858786	You needed to invest that time a long time ago.	-	-
1584  common_voice_sv-SE_18858786	You needed to invest that time a long time ago.	250	You don’t know that the will have to the theme therere.
1584  common_voice_sv-SE_18858786	You needed to invest that time a long time ago.	50	You an’t the the the the the athe the the the the the the the che be be boure che the che the the the the berere be bere be berere thererererere berererere berererererere s bere s be be be the there
1584  common_voice_sv-SE_18858786	You needed to invest that time a long time ago.	1250	We can stop the bombs from exploding.
1584  common_voice_sv-SE_18858786	You needed to invest that time a long time ago.	750	He isn’t police, but they say he’s good.
1584  common_voice_sv-SE_18858786	You needed to invest that time a long time ago.	1000	When I come downstairs it will be cleaned here.
1584  common_voice_sv-SE_18858786	You needed to invest that time a long time ago.	500	I don’t even know what you would never now.
296  common_voice_sv-SE_19797186	Come on, let’s hug.	-	-
296  common_voice_sv-SE_19797186	Come on, let’s hug.	250	What do you know that?
296  common_voice_sv-SE_19797186	Come on, let’s hug.	50	I I an’t the the the the the athe the the athe.
296  common_voice_sv-SE_19797186	Come on, let’s hug.	1250	He was at the café.
296  common_voice_sv-SE_19797186	Come on, let’s hug.	750	It is actually question.
296  common_voice_sv-SE_19797186	Come on, let’s hug.	1000	The government who beat our chief?
296  common_voice_sv-SE_19797186	Come on, let’s hug.	500	What are you going to do?
1566  common_voice_sv-SE_18858235	It’s only more crap from the tobacco farm.	-	-
1566  common_voice_sv-SE_18858235	It’s only more crap from the tobacco farm.	250	Why do you know that the will have you.
1566  common_voice_sv-SE_18858235	It’s only more crap from the tobacco farm.	50	You an’the the the the the the the the the athe the the therere ware be the che the the the the the be the there therere be berere thererererere berererere berere berere s s.
1566  common_voice_sv-SE_18858235	It’s only more crap from the tobacco farm.	1250	What would I need to make my own?
1566  common_voice_sv-SE_18858235	It’s only more crap from the tobacco farm.	750	You can’t be responsible for everyone.
1566  common_voice_sv-SE_18858235	It’s only more crap from the tobacco farm.	1000	Your butler will show you the way from now on.
1566  common_voice_sv-SE_18858235	It’s only more crap from the tobacco farm.	500	I don’t want to start your brother.
883  common_voice_sv-SE_19845657	You seem to have the upper hand.	-	-
883  common_voice_sv-SE_19845657	You seem to have the upper hand.	250	What are you going?
883  common_voice_sv-SE_19845657	You seem to have the upper hand.	50	I I tous the toure the the the the the the athe the.
883  common_voice_sv-SE_19845657	You seem to have the upper hand.	1250	That is my wife.
883  common_voice_sv-SE_19845657	You seem to have the upper hand.	750	That is my wife.
883  common_voice_sv-SE_19845657	You seem to have the upper hand.	1000	That is my office.
883  common_voice_sv-SE_19845657	You seem to have the upper hand.	500	What are you going to do work?
1180  common_voice_sv-SE_18780655	It’s not happening.	-	-
1180  common_voice_sv-SE_18780655	It’s not happening.	250	What are you going?
1180  common_voice_sv-SE_18780655	It’s not happening.	50	I I tous the the the the the athe the there.
1180  common_voice_sv-SE_18780655	It’s not happening.	1250	Can I get weapons?
1180  common_voice_sv-SE_18780655	It’s not happening.	750	You know she druggged me.
1180  common_voice_sv-SE_18780655	It’s not happening.	1000	You know she drugged me.
1180  common_voice_sv-SE_18780655	It’s not happening.	500	What are you going to do?
1324  common_voice_sv-SE_18775057	Take us there.	-	-
1324  common_voice_sv-SE_18775057	Take us there.	250	What are you going?
1324  common_voice_sv-SE_18775057	Take us there.	50	I I atous the the the the the athe the the.
1324  common_voice_sv-SE_18775057	Take us there.	1250	Consider what?
1324  common_voice_sv-SE_18775057	Take us there.	750	Do you want to see?
1324  common_voice_sv-SE_18775057	Take us there.	1000	Can you hold here?
1324  common_voice_sv-SE_18775057	Take us there.	500	How are you feeling?
677  common_voice_sv-SE_19758101	He needs me for something.	-	-
677  common_voice_sv-SE_19758101	He needs me for something.	250	What are you going?
677  common_voice_sv-SE_19758101	He needs me for something.	50	I I an’the the the the the the are the the.
677  common_voice_sv-SE_19758101	He needs me for something.	1250	Can you move the bage?
677  common_voice_sv-SE_19758101	He needs me for something.	750	Can you get them phone?
677  common_voice_sv-SE_19758101	He needs me for something.	1000	For your sake.
677  common_voice_sv-SE_19758101	He needs me for something.	500	What are you going to do?
1494  common_voice_sv-SE_18847660	My name is Harry, by the way.	-	-
1494  common_voice_sv-SE_18847660	My name is Harry, by the way.	250	What are you going?
1494  common_voice_sv-SE_18847660	My name is Harry, by the way.	50	I I an’the the the the the athe the the the.
1494  common_voice_sv-SE_18847660	My name is Harry, by the way.	1250	I don’t want to feel like an eight.
1494  common_voice_sv-SE_18847660	My name is Harry, by the way.	750	I will do my best to find it.
1494  common_voice_sv-SE_18847660	My name is Harry, by the way.	1000	I don’t want that!
1494  common_voice_sv-SE_18847660	My name is Harry, by the way.	500	What are you going?
219  common_voice_sv-SE_18853005	Make or break.	-	-
219  common_voice_sv-SE_18853005	Make or break.	250	What are you going to do?
219  common_voice_sv-SE_18853005	Make or break.	50	I I the the toure the the the athe the.
219  common_voice_sv-SE_18853005	Make or break.	1250	I’m not sure they have any.
219  common_voice_sv-SE_18853005	Make or break.	750	It’s not a problem.
219  common_voice_sv-SE_18853005	Make or break.	1000	You don’t need to insist.
219  common_voice_sv-SE_18853005	Make or break.	500	What are you going to do?
1050  common_voice_sv-SE_18858731	We’ll stay at the hotel.	-	-
1050  common_voice_sv-SE_18858731	We’ll stay at the hotel.	250	What doesn’t want to that.
1050  common_voice_sv-SE_18858731	We’ll stay at the hotel.	50	I I an’the tous the the the the the the the athe the the.
1050  common_voice_sv-SE_18858731	We’ll stay at the hotel.	1250	For our hundredth bachelor party!
1050  common_voice_sv-SE_18858731	We’ll stay at the hotel.	750	It is after all an important assignment.
1050  common_voice_sv-SE_18858731	We’ll stay at the hotel.	1000	No, I just walked in here.
1050  common_voice_sv-SE_18858731	We’ll stay at the hotel.	500	I don’t want to start that your life.
605  common_voice_sv-SE_19354341	Fuck!	-	-
605  common_voice_sv-SE_19354341	Fuck!	250	You don’t know.
605  common_voice_sv-SE_19354341	Fuck!	50	I I an’the the the the the the the the the.
605  common_voice_sv-SE_19354341	Fuck!	1250	Why do you think it’s burning?
605  common_voice_sv-SE_19354341	Fuck!	750	I have not been seeking attention.
605  common_voice_sv-SE_19354341	Fuck!	1000	No, I’m just happy.
605  common_voice_sv-SE_19354341	Fuck!	500	What are you going to do?
1069  common_voice_sv-SE_18858765	My bladder is about the size of a peanut.	-	-
1069  common_voice_sv-SE_18858765	My bladder is about the size of a peanut.	250	You don’t know that the will have to the the pent.
1069  common_voice_sv-SE_18858765	My bladder is about the size of a peanut.	50	You the the s the the the the the the there athe the the the there be s the s che the the the the the there the the berere be we the berererere therererererererere there s s.
1069  common_voice_sv-SE_18858765	My bladder is about the size of a peanut.	1250	We can’t risk him recognizing you.
1069  common_voice_sv-SE_18858765	My bladder is about the size of a peanut.	750	I’ve been alone all my life, forgotten.
1069  common_voice_sv-SE_18858765	My bladder is about the size of a peanut.	1000	I’ve got a migraine and diarrhea.
1069  common_voice_sv-SE_18858765	My bladder is about the size of a peanut.	500	We need to know what every family.
1436  common_voice_sv-SE_20021682	Do you have a therapist?	-	-
1436  common_voice_sv-SE_20021682	Do you have a therapist?	250	What are you going?
1436  common_voice_sv-SE_20021682	Do you have a therapist?	50	I I an’t the toure the the the athe the the.
1436  common_voice_sv-SE_20021682	Do you have a therapist?	1250	What do you want to do?
1436  common_voice_sv-SE_20021682	Do you have a therapist?	750	What does it matter?
1436  common_voice_sv-SE_20021682	Do you have a therapist?	1000	Have you lost your mind?
1436  common_voice_sv-SE_20021682	Do you have a therapist?	500	What are you doing here?
932  common_voice_sv-SE_19932426	No, not Alfred.	-	-
932  common_voice_sv-SE_19932426	No, not Alfred.	250	What are you going?
